,masc_pos_terms,masc_pos_values,masc_neg_terms,masc_neg_values,masc_neu_terms,masc_neu_values,fem_pos_terms,fem_pos_values,fem_neg_terms,fem_neg_values,fem_neu_terms,fem_neu_values
177,nimble,2.158333351214727,ashamed,1.328571421759469,astrological,2.325000010430813,clean,2.671428527150835,distressing,2.216666658719381,grecian,4.149999976158142
178,affectionate,2.0166666408379874,unkind,1.2999999991485052,distant,2.2249999940395355,entertaining,2.64285717691694,tragical,2.2000000278155007,draped,3.916666626930237
179,chic,1.8083333174387615,irrational,1.2857142729418618,normal,1.6749999821186066,beneficent,2.6285714081355502,dreary,2.199999968210856,disdainful,3.8166666428248086
180,intellectual,1.7916666666666667,unlawful,1.2857142686843872,successive,1.599999986588955,classic,2.6142856904438565,blond,2.1166666746139526,regular,3.7666667302449546
181,peaceful,1.7916666567325592,wrongful,1.2642857091767448,popular,1.5624999925494194,mindful,2.5714285714285716,dire,2.0666666626930237,unpromising,3.6500000059604645
182,bright,1.7416666746139526,sore,1.2142857100282396,elizabethan,1.5374999940395355,estimable,2.457142915044512,fearful,2.0166666408379874,fat,2.666666646798452
183,preeminent,1.7333333392937977,papal,3.561538439530593,mediaeval,1.4125000163912773,darling,2.4000000272478377,unwanted,1.9833333492279053,couchant,2.566666655242443
184,impartial,1.700000007947286,henpecked,3.2923077253194957,mere,1.3124999850988388,luminous,2.328571455819266,puny,1.9166666666666667,same,2.5166667426625886
185,harmonious,1.6833333373069763,international,2.2000000110039344,irish,1.1374999955296516,acceptable,2.300000020435878,orphaned,1.8666666348775227,allegorical,2.3000000218550363
186,constructive,1.666666676600774,rough,1.715384602546692,slain,1.1124999970197678,charitable,2.2428571496691023,immoral,1.8666666150093079,menopausal,2.23333332935969
187,healthful,1.6666666567325592,unhappy,1.5076923003563514,essential,1.1000000014901161,tidy,2.1999999965940202,frightful,1.8166666825612385,sentimental,2.2166666984558105
188,gracious,1.649999996026357,unfortunate,1.3769230659191425,able,1.0500000193715096,amicable,2.1999999625342235,neglected,1.6666666467984517,only,2.0833333134651184
189,secure,1.6416666607062023,lost,1.3461538461538463,ethiopian,1.012499988079071,delighted,2.1857143129621233,grand,1.649999976158142,theatrical,2.01666667064031
190,pleasing,1.5833333532015483,worried,1.2692307646457965,bulgarian,0.9625000059604645,veritable,2.000000008514949,lowly,1.599999984105428,hindu,1.900000015894572
191,cheerful,1.5000000099341075,mournful,1.2153846071316645,detached,0.8750000074505806,friendly,1.8857142967837197,frailer,5.320000076293946,african,1.8500000139077504
192,manorial,3.5272727446122603,troubled,1.207692297605368,oppressed,0.8375000208616257,youthful,1.6142857351473399,jewelled,4.820000076293946,southern,1.7833333139618237
193,acute,3.290909030220725,insolvent,2.6749999721844993,alcoholic,0.8375000059604645,dizzy,4.1833332777023315,dowerless,4.779999995231629,thyrotoxic,1.7666666731238365
194,christian,3.15454544804313,crooked,2.600000003973643,ample,0.8374999910593033,senior,3.883333381265402,coy,4.7,inhibited,1.7333333492279053
195,mechanical,3.100000023841858,drunken,2.0499999672174454,punctual,0.8125,petite,3.833333353201548,conventional,4.6200000762939455,peruvian,1.6166666969656944
196,famous,2.790909084406766,miserable,1.9166666567325592,rigid,0.7999999970197678,giddy,3.5833332737286887,antiquated,4.580000019073486,classical,1.5833333134651184
197,significant,2.7181817943399604,terrible,1.3249999930461247,top,0.7875000014901161,stylish,3.4833333094914756,radioactive,4.480000019073486,numerous,1.5666666626930237
198,illustrious,2.272727272727273,helpless,1.3083333373069763,trivial,0.7624999955296516,compassionate,3.4666666984558105,runaway,4.480000019073486,south,1.5333333040277164
199,hardy,2.172727270559831,naive,1.258333330353101,fraternal,3.7714285254478455,fortunate,3.3333332935969033,matronly,4.420000076293945,doric,1.3833333378036816
